entry_id,enabled,submit_via,submit_script,sbatch_args,python_module,dataset,split,seed,sampler,teacher_model,teacher_variant,student_family,student_arch,student_target_params,distill_loss,distill_method,run_artifact_id,run_mode,run_exp_name,distillation_temperature,distillation_alpha,distillation_teacher_fp16,distillation_teacher_batch_size,student_init_strategy,student_hidden_size,tokenizer_chunk_length,data_input_path,data_prepared_dir,data_prepared_split,data_eval_prepared_dir,data_eval_prepared_split,train_num_epochs,train_batch_size,train_grad_accum,train_learning_rate,train_logging_steps,train_save_strategy,train_save_steps,train_save_total_limit,train_bf16,train_fp16,distillation_max_train_samples,distillation_max_eval_samples,extra_overrides,notes
vt2d_enwik9_kld_gemma31h64_s43,false,sbatch,sbatchs/lmic_distill_hydra.submit,--time=360 --nodes=1 --ntasks=1 --mem=64G --partition=gpu_top --gres=gpu:1 --cpus-per-task=8,,enwiki9,train,43,distributed,google/gemma-3-1b-pt,gemma-3-1b-pt,gemma,gemma_h64_random,3000000,kld,teacher_student_kld,vt2d-enwik9-kld-gemma31h64-s43,new,vt2d-enwik9-kld-gemma31h64-s43,2.0,0.9,false,2,random,64,256,enwiki9,/cluster/projects/LMIC/vt2/distillation/prepared/enwiki9/google-gemma-3-1b-pt-v262144/c256/protocol_v1_evalseed43,train,/cluster/projects/LMIC/vt2/distillation/prepared/enwiki9/google-gemma-3-1b-pt-v262144/c256/protocol_v1_evalseed43,eval,1,4,1,5e-5,10,steps,200,2,true,false,10000,1000,,Phase 1 screening: narrow Gemma KLD baseline on VT2 enwiki9 protocol split.
vt2d_enwik9_kld_gemma31h128_s43,false,sbatch,sbatchs/lmic_distill_hydra.submit,--time=360 --nodes=1 --ntasks=1 --mem=64G --partition=gpu_top --gres=gpu:1 --cpus-per-task=8,,enwiki9,train,43,distributed,google/gemma-3-1b-pt,gemma-3-1b-pt,gemma,gemma_h128_random,12000000,kld,teacher_student_kld,vt2d-enwik9-kld-gemma31h128-s43,new,vt2d-enwik9-kld-gemma31h128-s43,2.0,0.9,false,2,random,128,256,enwiki9,/cluster/projects/LMIC/vt2/distillation/prepared/enwiki9/google-gemma-3-1b-pt-v262144/c256/protocol_v1_evalseed43,train,/cluster/projects/LMIC/vt2/distillation/prepared/enwiki9/google-gemma-3-1b-pt-v262144/c256/protocol_v1_evalseed43,eval,1,4,1,5e-5,10,steps,200,2,true,false,10000,1000,,Phase 1 screening: reference Gemma KLD baseline on VT2 enwiki9 protocol split.
vt2d_enwik9_kld_gemma31h192_s43,false,sbatch,sbatchs/lmic_distill_hydra.submit,--time=360 --nodes=1 --ntasks=1 --mem=64G --partition=gpu_top --gres=gpu:1 --cpus-per-task=8,,enwiki9,train,43,distributed,google/gemma-3-1b-pt,gemma-3-1b-pt,gemma,gemma_h192_random,27000000,kld,teacher_student_kld,vt2d-enwik9-kld-gemma31h192-s43,new,vt2d-enwik9-kld-gemma31h192-s43,2.0,0.9,false,2,random,192,256,enwiki9,/cluster/projects/LMIC/vt2/distillation/prepared/enwiki9/google-gemma-3-1b-pt-v262144/c256/protocol_v1_evalseed43,train,/cluster/projects/LMIC/vt2/distillation/prepared/enwiki9/google-gemma-3-1b-pt-v262144/c256/protocol_v1_evalseed43,eval,1,4,1,5e-5,10,steps,200,2,true,false,10000,1000,,Phase 1 screening: wider Gemma KLD baseline on VT2 enwiki9 protocol split.
vt2d_tb_kld_llama_s42i43o44_s41,false,sbatch,sbatchs/lmic_distill_hydra.submit,--time=360 --nodes=1 --ntasks=1 --mem=64G --partition=gpu_top --gres=gpu:1 --cpus-per-task=8,,thunderbird,train,41,distributed,meta-llama/Llama-3.2-1B,llama-3.2-1b-pt,llama,llama_h128_random,12000000,kld,teacher_student_kld,vt2d-tb-kld-llama-s42i43o44-s41,new,vt2d-tb-kld-llama-s42i43o44-s41,2.0,0.9,true,2,random,128,256,thunderbird,/cluster/projects/LMIC/vt2/distillation/prepared/thunderbird/meta-llama-Llama-3.2-1B-v128000/c256/protocol_v1_s42_i43_o44,train,/cluster/projects/LMIC/vt2/distillation/prepared/thunderbird/meta-llama-Llama-3.2-1B-v128000/c256/protocol_v1_s42_i43_o44,eval_out,1,4,1,5e-5,10,steps,200,2,true,false,12000,1000,,Thunderbird split effect matrix llama protocol A seed 41.
vt2d_tb_kld_llama_s42i43o44_s42,false,sbatch,sbatchs/lmic_distill_hydra.submit,--time=360 --nodes=1 --ntasks=1 --mem=64G --partition=gpu_top --gres=gpu:1 --cpus-per-task=8,,thunderbird,train,42,distributed,meta-llama/Llama-3.2-1B,llama-3.2-1b-pt,llama,llama_h128_random,12000000,kld,teacher_student_kld,vt2d-tb-kld-llama-s42i43o44-s42,new,vt2d-tb-kld-llama-s42i43o44-s42,2.0,0.9,true,2,random,128,256,thunderbird,/cluster/projects/LMIC/vt2/distillation/prepared/thunderbird/meta-llama-Llama-3.2-1B-v128000/c256/protocol_v1_s42_i43_o44,train,/cluster/projects/LMIC/vt2/distillation/prepared/thunderbird/meta-llama-Llama-3.2-1B-v128000/c256/protocol_v1_s42_i43_o44,eval_out,1,4,1,5e-5,10,steps,200,2,true,false,12000,1000,,Thunderbird split effect matrix llama protocol A seed 42.
vt2d_tb_kld_llama_s42i43o44_s43,false,sbatch,sbatchs/lmic_distill_hydra.submit,--time=360 --nodes=1 --ntasks=1 --mem=64G --partition=gpu_top --gres=gpu:1 --cpus-per-task=8,,thunderbird,train,43,distributed,meta-llama/Llama-3.2-1B,llama-3.2-1b-pt,llama,llama_h128_random,12000000,kld,teacher_student_kld,vt2d-tb-kld-llama-s42i43o44-s43,new,vt2d-tb-kld-llama-s42i43o44-s43,2.0,0.9,true,2,random,128,256,thunderbird,/cluster/projects/LMIC/vt2/distillation/prepared/thunderbird/meta-llama-Llama-3.2-1B-v128000/c256/protocol_v1_s42_i43_o44,train,/cluster/projects/LMIC/vt2/distillation/prepared/thunderbird/meta-llama-Llama-3.2-1B-v128000/c256/protocol_v1_s42_i43_o44,eval_out,1,4,1,5e-5,10,steps,200,2,true,false,12000,1000,,Thunderbird split effect matrix llama protocol A seed 43.
vt2d_tb_kld_llama_s142i143o144_s41,false,sbatch,sbatchs/lmic_distill_hydra.submit,--time=360 --nodes=1 --ntasks=1 --mem=64G --partition=gpu_top --gres=gpu:1 --cpus-per-task=8,,thunderbird,train,41,distributed,meta-llama/Llama-3.2-1B,llama-3.2-1b-pt,llama,llama_h128_random,12000000,kld,teacher_student_kld,vt2d-tb-kld-llama-s142i143o144-s41,new,vt2d-tb-kld-llama-s142i143o144-s41,2.0,0.9,true,2,random,128,256,thunderbird,/cluster/projects/LMIC/vt2/distillation/prepared/thunderbird/meta-llama-Llama-3.2-1B-v128000/c256/protocol_v1_s142_i143_o144,train,/cluster/projects/LMIC/vt2/distillation/prepared/thunderbird/meta-llama-Llama-3.2-1B-v128000/c256/protocol_v1_s142_i143_o144,eval_out,1,4,1,5e-5,10,steps,200,2,true,false,12000,1000,,Thunderbird split effect matrix llama protocol B seed 41.
vt2d_tb_kld_llama_s142i143o144_s42,false,sbatch,sbatchs/lmic_distill_hydra.submit,--time=360 --nodes=1 --ntasks=1 --mem=64G --partition=gpu_top --gres=gpu:1 --cpus-per-task=8,,thunderbird,train,42,distributed,meta-llama/Llama-3.2-1B,llama-3.2-1b-pt,llama,llama_h128_random,12000000,kld,teacher_student_kld,vt2d-tb-kld-llama-s142i143o144-s42,new,vt2d-tb-kld-llama-s142i143o144-s42,2.0,0.9,true,2,random,128,256,thunderbird,/cluster/projects/LMIC/vt2/distillation/prepared/thunderbird/meta-llama-Llama-3.2-1B-v128000/c256/protocol_v1_s142_i143_o144,train,/cluster/projects/LMIC/vt2/distillation/prepared/thunderbird/meta-llama-Llama-3.2-1B-v128000/c256/protocol_v1_s142_i143_o144,eval_out,1,4,1,5e-5,10,steps,200,2,true,false,12000,1000,,Thunderbird split effect matrix llama protocol B seed 42.
vt2d_tb_kld_llama_s142i143o144_s43,false,sbatch,sbatchs/lmic_distill_hydra.submit,--time=360 --nodes=1 --ntasks=1 --mem=64G --partition=gpu_top --gres=gpu:1 --cpus-per-task=8,,thunderbird,train,43,distributed,meta-llama/Llama-3.2-1B,llama-3.2-1b-pt,llama,llama_h128_random,12000000,kld,teacher_student_kld,vt2d-tb-kld-llama-s142i143o144-s43,new,vt2d-tb-kld-llama-s142i143o144-s43,2.0,0.9,true,2,random,128,256,thunderbird,/cluster/projects/LMIC/vt2/distillation/prepared/thunderbird/meta-llama-Llama-3.2-1B-v128000/c256/protocol_v1_s142_i143_o144,train,/cluster/projects/LMIC/vt2/distillation/prepared/thunderbird/meta-llama-Llama-3.2-1B-v128000/c256/protocol_v1_s142_i143_o144,eval_out,1,4,1,5e-5,10,steps,200,2,true,false,12000,1000,,Thunderbird split effect matrix llama protocol B seed 43.
vt2d_tb_kld_gemma_s42i43o44_s41,false,sbatch,sbatchs/lmic_distill_hydra.submit,--time=360 --nodes=1 --ntasks=1 --mem=64G --partition=gpu_top --gres=gpu:1 --cpus-per-task=8,,thunderbird,train,41,distributed,google/gemma-3-1b-pt,gemma-3-1b-pt,gemma,gemma_h128_random,12000000,kld,teacher_student_kld,vt2d-tb-kld-gemma-s42i43o44-s41,new,vt2d-tb-kld-gemma-s42i43o44-s41,2.0,0.9,true,2,random,128,256,thunderbird,/cluster/projects/LMIC/vt2/distillation/prepared/thunderbird/google-gemma-3-1b-pt-v262144/c256/protocol_v1_s42_i43_o44,train,/cluster/projects/LMIC/vt2/distillation/prepared/thunderbird/google-gemma-3-1b-pt-v262144/c256/protocol_v1_s42_i43_o44,eval_out,1,4,1,5e-5,10,steps,200,2,true,false,12000,1000,,Thunderbird split effect matrix gemma protocol A seed 41.
vt2d_tb_kld_gemma_s42i43o44_s42,false,sbatch,sbatchs/lmic_distill_hydra.submit,--time=360 --nodes=1 --ntasks=1 --mem=64G --partition=gpu_top --gres=gpu:1 --cpus-per-task=8,,thunderbird,train,42,distributed,google/gemma-3-1b-pt,gemma-3-1b-pt,gemma,gemma_h128_random,12000000,kld,teacher_student_kld,vt2d-tb-kld-gemma-s42i43o44-s42,new,vt2d-tb-kld-gemma-s42i43o44-s42,2.0,0.9,true,2,random,128,256,thunderbird,/cluster/projects/LMIC/vt2/distillation/prepared/thunderbird/google-gemma-3-1b-pt-v262144/c256/protocol_v1_s42_i43_o44,train,/cluster/projects/LMIC/vt2/distillation/prepared/thunderbird/google-gemma-3-1b-pt-v262144/c256/protocol_v1_s42_i43_o44,eval_out,1,4,1,5e-5,10,steps,200,2,true,false,12000,1000,,Thunderbird split effect matrix gemma protocol A seed 42.
vt2d_tb_kld_gemma_s42i43o44_s43,false,sbatch,sbatchs/lmic_distill_hydra.submit,--time=360 --nodes=1 --ntasks=1 --mem=64G --partition=gpu_top --gres=gpu:1 --cpus-per-task=8,,thunderbird,train,43,distributed,google/gemma-3-1b-pt,gemma-3-1b-pt,gemma,gemma_h128_random,12000000,kld,teacher_student_kld,vt2d-tb-kld-gemma-s42i43o44-s43,new,vt2d-tb-kld-gemma-s42i43o44-s43,2.0,0.9,true,2,random,128,256,thunderbird,/cluster/projects/LMIC/vt2/distillation/prepared/thunderbird/google-gemma-3-1b-pt-v262144/c256/protocol_v1_s42_i43_o44,train,/cluster/projects/LMIC/vt2/distillation/prepared/thunderbird/google-gemma-3-1b-pt-v262144/c256/protocol_v1_s42_i43_o44,eval_out,1,4,1,5e-5,10,steps,200,2,true,false,12000,1000,,Thunderbird split effect matrix gemma protocol A seed 43.
vt2d_tb_kld_gemma_s142i143o144_s41,false,sbatch,sbatchs/lmic_distill_hydra.submit,--time=360 --nodes=1 --ntasks=1 --mem=64G --partition=gpu_top --gres=gpu:1 --cpus-per-task=8,,thunderbird,train,41,distributed,google/gemma-3-1b-pt,gemma-3-1b-pt,gemma,gemma_h128_random,12000000,kld,teacher_student_kld,vt2d-tb-kld-gemma-s142i143o144-s41,new,vt2d-tb-kld-gemma-s142i143o144-s41,2.0,0.9,true,2,random,128,256,thunderbird,/cluster/projects/LMIC/vt2/distillation/prepared/thunderbird/google-gemma-3-1b-pt-v262144/c256/protocol_v1_s142_i143_o144,train,/cluster/projects/LMIC/vt2/distillation/prepared/thunderbird/google-gemma-3-1b-pt-v262144/c256/protocol_v1_s142_i143_o144,eval_out,1,4,1,5e-5,10,steps,200,2,true,false,12000,1000,,Thunderbird split effect matrix gemma protocol B seed 41.
vt2d_tb_kld_gemma_s142i143o144_s42,false,sbatch,sbatchs/lmic_distill_hydra.submit,--time=360 --nodes=1 --ntasks=1 --mem=64G --partition=gpu_top --gres=gpu:1 --cpus-per-task=8,,thunderbird,train,42,distributed,google/gemma-3-1b-pt,gemma-3-1b-pt,gemma,gemma_h128_random,12000000,kld,teacher_student_kld,vt2d-tb-kld-gemma-s142i143o144-s42,new,vt2d-tb-kld-gemma-s142i143o144-s42,2.0,0.9,true,2,random,128,256,thunderbird,/cluster/projects/LMIC/vt2/distillation/prepared/thunderbird/google-gemma-3-1b-pt-v262144/c256/protocol_v1_s142_i143_o144,train,/cluster/projects/LMIC/vt2/distillation/prepared/thunderbird/google-gemma-3-1b-pt-v262144/c256/protocol_v1_s142_i143_o144,eval_out,1,4,1,5e-5,10,steps,200,2,true,false,12000,1000,,Thunderbird split effect matrix gemma protocol B seed 42.
vt2d_tb_kld_gemma_s142i143o144_s43,false,sbatch,sbatchs/lmic_distill_hydra.submit,--time=360 --nodes=1 --ntasks=1 --mem=64G --partition=gpu_top --gres=gpu:1 --cpus-per-task=8,,thunderbird,train,43,distributed,google/gemma-3-1b-pt,gemma-3-1b-pt,gemma,gemma_h128_random,12000000,kld,teacher_student_kld,vt2d-tb-kld-gemma-s142i143o144-s43,new,vt2d-tb-kld-gemma-s142i143o144-s43,2.0,0.9,true,2,random,128,256,thunderbird,/cluster/projects/LMIC/vt2/distillation/prepared/thunderbird/google-gemma-3-1b-pt-v262144/c256/protocol_v1_s142_i143_o144,train,/cluster/projects/LMIC/vt2/distillation/prepared/thunderbird/google-gemma-3-1b-pt-v262144/c256/protocol_v1_s142_i143_o144,eval_out,1,4,1,5e-5,10,steps,200,2,true,false,12000,1000,,Thunderbird split effect matrix gemma protocol B seed 43.
vt2d_tb_kld_gemma_s42i43o44_s41_smoke,false,sbatch,sbatchs/lmic_distill_hydra.submit,--time=90 --nodes=1 --ntasks=1 --mem=64G --partition=gpu_top --gres=gpu:1 --cpus-per-task=8,,thunderbird,train,41,distributed,google/gemma-3-1b-pt,gemma-3-1b-pt,gemma,gemma_h128_random,12000000,kld,teacher_student_kld,vt2d-tb-kld-gemma-s42i43o44-s41-smoke,new,vt2d-tb-kld-gemma-s42i43o44-s41-smoke,2.0,0.9,false,2,random,128,256,thunderbird,/cluster/projects/LMIC/vt2/distillation/prepared/thunderbird/google-gemma-3-1b-pt-v262144/c256/protocol_v1_s42_i43_o44,train,/cluster/projects/LMIC/vt2/distillation/prepared/thunderbird/google-gemma-3-1b-pt-v262144/c256/protocol_v1_s42_i43_o44,eval_out,1,4,1,5e-5,10,steps,50,1,false,false,500,100,,Gemma smoke test after stability patch (protocol A; seed 41; reduced sample budget).
vt2d_tb_kld_gemma_s42i43o44_s41_smoke_fp16teacher,false,sbatch,sbatchs/lmic_distill_hydra.submit,--time=90 --nodes=1 --ntasks=1 --mem=64G --partition=gpu_top --gres=gpu:1 --cpus-per-task=8,,thunderbird,train,41,distributed,google/gemma-3-1b-pt,gemma-3-1b-pt,gemma,gemma_h128_random,12000000,kld,teacher_student_kld,vt2d-tb-kld-gemma-s42i43o44-s41-smoke-fp16teacher,new,vt2d-tb-kld-gemma-s42i43o44-s41-smoke-fp16teacher,2.0,0.9,true,2,random,128,256,thunderbird,/cluster/projects/LMIC/vt2/distillation/prepared/thunderbird/google-gemma-3-1b-pt-v262144/c256/protocol_v1_s42_i43_o44,train,/cluster/projects/LMIC/vt2/distillation/prepared/thunderbird/google-gemma-3-1b-pt-v262144/c256/protocol_v1_s42_i43_o44,eval_out,1,4,1,5e-5,10,steps,50,1,false,false,500,100,++distillation.allow_gemma_teacher_fp16=true,Gemma smoke test to re-check teacher_fp16 stability after the eager-attention stability patch on protocol A seed 41 with reduced sample budget.
vt2d_tb_kld_gemma_s42i43o44_s41_smoke_pca,false,sbatch,sbatchs/lmic_distill_hydra.submit,--time=90 --nodes=1 --ntasks=1 --mem=64G --partition=gpu_top --gres=gpu:1 --cpus-per-task=8,,thunderbird,train,41,distributed,google/gemma-3-1b-pt,gemma-3-1b-pt,gemma,gemma_h128_pca_layerwise,12000000,kld,teacher_student_kld,vt2d-tb-kld-gemma-s42i43o44-s41-smoke-pca,new,vt2d-tb-kld-gemma-s42i43o44-s41-smoke-pca,2.0,0.9,false,2,pca_layerwise,128,256,thunderbird,/cluster/projects/LMIC/vt2/distillation/prepared/thunderbird/google-gemma-3-1b-pt-v262144/c256/protocol_v1_s42_i43_o44,train,/cluster/projects/LMIC/vt2/distillation/prepared/thunderbird/google-gemma-3-1b-pt-v262144/c256/protocol_v1_s42_i43_o44,eval_out,1,4,1,5e-5,10,steps,50,1,false,false,500,100,distillation.student.init_cache_dir=/cluster/projects/LMIC/vt2/distillation/init_cache/smoke/thunderbird/google-gemma-3-1b-pt-v262144/c256/protocol_v1_s42_i43_o44|distillation.student.dataset_path=/cluster/projects/LMIC/vt2/distillation/prepared/thunderbird/google-gemma-3-1b-pt-v262144/c256/protocol_v1_s42_i43_o44|distillation.student.init_num_samples=128|distillation.student.init_max_length=128|distillation.student.init_epochs=1|distillation.student.init_batch_size=8,Smoke test for non-random PCA layerwise initialization on Thunderbird protocol A seed 41 with reduced init-stage budget.
